,marketcap
1549,10024455297
1550,10021921499
1551,9996592093
1552,9991091051
1553,9966419968
1554,9953502208
1555,9941492736
1556,9924317184
1557,9902579796
1558,9890830336
1559,9889391436
1560,9861526189
1561,9852741632
1562,9833801449
1563,9823390720
1564,9820799250
1565,9807593315
1566,9802769408
1567,9784990383
1568,9772800768
1569,9772689408
1570,9769076736
1571,9766128640
1572,9760509303
1573,9756154880
1574,9740043963
1575,9732123305
1576,9728277680
1577,9704315904
1578,9700118336
1579,9686852881
1580,9685903291
1581,9678441129
1582,9653204425
1583,9652835944
1584,9651298304
1585,9645822976
1586,9639815165
1587,9631551488
1588,9623454896
1589,9611406336
1590,9606863076
1591,9600755712
1592,9596016372
1593,9579832073
1594,9569881088
1595,9563939840
1596,9561963051
1597,9561226240
1598,9557476768
1599,9544009728
1600,9543926784
1601,9538665472
1602,9531547648
1603,9524318787
1604,9519559680
1605,9517963323
1606,9501728768
1607,9447995449
1608,9437197312
1609,9434941762
1610,9433458781
1611,9424026138
1612,9415376896
1613,9414801408
1614,9393983056
1615,9387103232
1616,9381453824
1617,9371664384
1618,9355371065
1619,9341784064
1620,9337580544
1621,9332268032
1622,9332260864
1623,9331465216
1624,9328095762
1625,9319149958
1626,9317941521
1627,9310403037
1628,9307720146
1629,9292796048
1630,9283487744
1631,9278253284
1632,9273456842
1633,9260393321
1634,9253474304
1635,9253409792
1636,9246203634
1637,9237130240
1638,9229347840
1639,9216698439
1640,9152879616
1641,9150779392
1642,9128784885
1643,9126364160
1644,9116378112
1645,9114357760
1646,9113759744
1647,9099909120
1648,9069052928
1649,9063260160
1650,9062623231
1651,9056413451
1652,9055416771
1653,9041784937
1654,9041154048
1655,9034405439
1656,9023414272
1657,9011332897
1658,9008711264
1659,9005310836
1660,8998743040
1661,8988743973
1662,8970030080
1663,8966426624
1664,8966177792
1665,8952266943
1666,8949379935
1667,8947505152
1668,8945830712
1669,8897887848
1670,8892523520
1671,8881665995
1672,8881661952
