,Smoking
957,54344.59885
958,53704.44825
959,52814.90934
960,52206.537
961,51420.72584
962,50236.37752
963,49649.28524
964,49470.73213
965,49413.24957
966,48838.71684
967,48846.91621
968,48004.04163
969,48305.22562
970,48241.11003
971,47535.25948
972,46649.26477
973,46059.32165
974,46813.15745
975,46498.69424
976,47826.62109
977,48782.58554
978,48801.23661
979,49362.37534
980,97.86359542
981,99.37198476
982,100.3913723
983,102.6721955
984,103.9618593
985,104.0265165
986,106.1219599
987,106.499486
988,107.1743383
989,108.4952364
990,109.2669425
991,110.3906345
992,111.4576647
993,112.1812812
994,112.7324312
995,113.2485139
996,114.0202272
997,112.6629266
998,112.9750487
999,113.6588828
1000,114.4550282
1001,115.7800974
1002,116.7633089
1003,117.5191381
1004,118.4333404
1005,119.7087273
1006,123.6160049
1007,125.6559008
1008,28332.14624
1009,28339.54691
1010,28902.08529
1011,29595.40216
1012,29912.75578
1013,30101.70668
1014,30342.7152
1015,30314.26768
1016,30832.01745
1017,31041.51035
1018,30585.15289
1019,30899.87641
1020,30267.97394
1021,30926.05034
1022,31647.24114
1023,32347.51541
1024,31996.24012
1025,32552.72363
1026,33262.93911
1027,33902.11586
1028,34148.85094
1029,33487.2524
1030,34498.08372
1031,35576.69406
1032,36551.78708
1033,37699.60226
1034,38331.83119
1035,38442.56216
1036,1720.477256
1037,1789.553504
1038,1840.139397
1039,1908.856105
1040,1957.853922
1041,1989.465288
1042,2058.06495
1043,2090.042383
1044,2150.113939
1045,2210.933261
1046,2238.762941
1047,2271.703691
1048,2315.16729
1049,2341.976007
1050,2364.919525
1051,2392.105568
1052,2413.982683
1053,2406.182669
1054,2399.375082
1055,2415.184601
1056,2449.168367
1057,2464.686618
1058,2449.065287
1059,2483.187304
1060,2492.874775
1061,2508.054688
1062,2511.479449
1063,2509.356867
1064,55431.79764
1065,58175.17362
1066,61437.2259
1067,65556.3543
1068,68962.56353
1069,70800.08927
1070,71037.89833
1071,69520.34972
1072,68129.67274
1073,66555.81947
1074,67537.06091
1075,68141.58388
1076,69807.0271
1077,71670.51281
1078,72375.2672
1079,73438.49768
1080,73591.36556
1081,73296.38822
1082,72290.05433
1083,71175.3704
1084,72108.37928
1085,73084.50506
1086,73608.21381
1087,73809.70483
1088,74255.1987
1089,75517.95168
1090,77569.2659
1091,79677.28717
1092,294695.4275
1093,295590.0129
1094,297846.9709
1095,293893.5779
1096,292758.1508
1097,295072.2413
1098,291065.7778
1099,291264.442
1100,283117.057
1101,279618.8006
1102,272461.3283
1103,270295.3793
1104,270465.4697
1105,271255.3792
1106,268414.5471
1107,269334.4869
1108,266463.2004
1109,264933.3489
1110,262902.3911
1111,261176.6331
1112,257000.5979
1113,252980.5312
1114,252675.8986
1115,248831.0922
1116,247402.774
1117,251260.1271
1118,247326.6649
1119,246025.3627
1120,793770.1733
1121,812062.3924
1122,855463.4341
1123,936445.5027
1124,987559.5011
1125,978286.9806
1126,936204.4726
1127,899487.4106
1128,873750.8865
1129,903094.9749
1130,920707.4694
1131,923029.3585
1132,936856.0137
1133,937063.1603
1134,922088.7653
1135,936485.788
1136,884946.4561
1137,865073.8014
1138,864561.3404
1139,832393.4112
1140,830745.6447
1141,800258.6143
1142,788673.1255
1143,776807.9639
1144,775352.397
1145,799477.1917
1146,788731.4022
1147,783618.662
1148,79280.34378
1149,81626.78041
1150,83803.21647
1151,84858.63208
1152,86195.0562
1153,86753.52892
1154,86223.28629
1155,85605.93316
1156,85959.42334
1157,84966.60907
