,Count
2115,2042500
2116,154830
2117,2693348
2118,3576838
2119,18977
2120,3386738
2121,3415576
2122,72507
2123,363575
2124,4518607
2125,1713874
2126,7968072
2127,418747
2128,52365
2129,6139048
2130,5773
2131,3568398
2132,2034907
2133,35827092
2134,2840262
2135,2132802
2136,559626
2137,82855
2138,937186
2139,4953390
2140,34055390
2141,5670
2142,13120580
2143,9127857
2144,46749283
2145,2795042
2146,202677000
2147,11694847
2148,89568
2149,11048262
2150,9626
2151,60300
2152,42307146
2153,82927
2154,140500
2155,1191000
2156,6097035
2157,21496075
2158,4045740
2159,5111337
2160,59063
2161,11173642
2162,5890365
2163,2135479
2164,24276
2165,234514
2166,23880561
2167,2525068
2168,27363
2169,64177
2170,12507000
2171,7467086
2172,5180023
2173,3479074
2174,9655549
2175,2912340
2176,5624600
2177,64232482
2178,8489574
2179,212605
2180,169377
2181,3760529
2182,9040000
2183,122182
2184,55000
2185,4484004
2186,95113265
2187,238896
2188,129529
2189,297316
2190,627715
2191,1811144
2192,21324000
2193,6180877
2194,121197
2195,9783134
2196,818315000
2197,5102064
2198,6519762
2199,20011036
2200,1326885
2201,21480065
2202,230054
2203,268627
2204,1847394
2205,4893454
2206,8712541
2207,144739
2208,9144
2209,613618
2210,9858071
2211,78169289
2212,159659
2213,71073
2214,4928757
2215,4499720
2216,14464985
2217,6069376
2218,34513850
2219,1310945
2220,33814531
2221,1360076
2222,28415077
2223,4606307
2224,520562
2225,51957738
2226,39009
2227,61417
2228,589314
2229,55663250
2230,4119900
2231,8735495
2232,28606
2233,4154605
2234,464410
2235,704939
2236,303982
2237,8792806
2238,94475
2239,46400
2240,5621792
2241,83877
2242,704934
2243,3959000
2244,2716654
2245,4412252
2246,4676230
2247,10337910
2248,114793178
2249,55425
2250,555189792
2251,2957250
