,r_distance
1497,390.261
1498,981.928
1499,162.918
1500,3651.23
1501,217.86
1502,1189.12
1503,930.899
1504,1531.47
1505,1223.11
1506,848.432
1507,1075.47
1508,961.964
1509,127.824
1510,589.658
1511,223.512
1512,1665.57
1513,211.067
1514,462.465
1515,2020.98
1516,2533.44
1517,765.396
1518,985.826
1519,1214.38
1520,409.274
1521,697.897
1522,2674.8
1523,1063.175
1524,383.895
1525,339.033
1526,2302.5
1527,267.871
1528,1296.86
1529,1226.55
1530,1285.91
1531,255.941
1532,378.019
1533,1495.15
1534,1432.95
1535,333.852
1536,936.045
1537,280.923
1538,1043.72
1539,268.128
1540,306.058
1541,1273.67
1542,255.255
1543,321.278
1544,379.575
1545,1630.01
1546,5583.88
1547,385.445
1548,357.333
1549,2046.96
1550,224.163
1551,1073.55
1552,1505.47
1553,417.812
1554,1498.17
1555,94.7759
1556,1255.84
1557,412.583
1558,1574.13
1559,1204.12
1560,3266.07
1561,845.853
1562,269.883
1563,184.886
1564,1021.28
1565,768.6695
1566,277.268
1567,2012.24
1568,872.858
1569,1190.96
1570,442.99
1571,695.335
1572,1311.86
1573,249.806
1574,286.981
1575,305.066
1576,309.606
1577,100.783
1578,4743.54
1579,281.434
1580,288.353
1581,2216.38
1582,444.933
1583,182.299
1584,1657.73
1585,1349.67
1586,1721.74
1587,1630.55
1588,1387.22
1589,852.372
1590,328.279
1591,2264.66
1592,1567.91
1593,157.648
1594,908.277
1595,2924.07
1596,1060.92
1597,2146.31
1598,228.533
1599,765.349
1600,3414.18
1601,276.4445
1602,1007.28
1603,344.419
1604,1053.98
1605,1340.72
1606,940.287
1607,1437.53
1608,1943.15
1609,1845.95
1610,429.088
1611,91.0016
1612,3083.33
1613,487.604
1614,247.027
1615,1016.7463333333334
1616,1385.73
1617,1503.59
1618,219.238
1619,1683.3
1620,509.416
1621,989.382
1622,2029.65
1623,1040.12
1624,1572.28
1625,1608.48
1626,247.582
1627,894.803
1628,875.77
1629,833.181
1630,457.872
1631,538.521
1632,2029.46
1633,967.615
1634,1643.34
1635,297.906
1636,214.79
1637,1271.31
1638,250.632
1639,216.418
1640,329.259
1641,1604.09
1642,559.14
1643,397.147
1644,3509.74
1645,624.654
1646,3800.71
1647,3306.71
1648,276.223
1649,1507.26
1650,374.144
1651,1493.29
1652,789.031
1653,876.994
1654,1678.74
1655,1733.23
1656,2643.44
1657,780.093
1658,844.622
1659,695.97
1660,924.809
1661,367.997
1662,355.205
1663,1455.31
1664,1631.04
1665,414.186
1666,570.129
1667,2156.14
1668,1436.87
1669,3867.03
1670,1025.24
1671,1158.4845
1672,1133.89
1673,1229.63
1674,2513.13
1675,539.177
1676,1306.89
1677,1550.56
1678,1700.59
1679,1482.87
1680,1774.82
1681,1725.58
1682,1649.8
1683,2077.42
1684,393.774
1685,1615.78
1686,604.013
1687,887.216
1688,2578.97
1689,3383.55
1690,1678.83
1691,1252.62
1692,424.894
1693,827.829
1694,1825.67
1695,2743.16
1696,5025.77
1697,225.225
1698,589.336
1699,1014.46
1700,319.991
1701,236.441
1702,253.269
1703,6445.05
1704,2050.51
1705,1378.85
1706,1012.15775
1707,1031.79
1708,210.338
1709,1230.33
1710,1909.145
1711,192.931
1712,6515.65
1713,1202.59
1714,921.125
1715,212.98
1716,3676.67
1717,1014.9
1718,255.919
1719,3742.35
1720,378.883
1721,1637.71
1722,3828.08
1723,253.379
1724,80.2939
1725,837.837
1726,1650.34
1727,1416.69
1728,988.843
1729,155.269
1730,1778.11
1731,2920.67
1732,988.332
1733,125.026
1734,572.283
1735,2484.7
1736,281.927
1737,4799.3
1738,128.825
1739,941.466
1740,2338.48
1741,1176.5
1742,790.588
1743,784.487
1744,810.625
1745,161.693
1746,1081.23
1747,928.463
1748,223.439
1749,450.908
1750,469.955
1751,1113.99
1752,1451.33
1753,337.445
1754,431.99
1755,1592.81
1756,359.755
1757,1058.94
1758,766.331
1759,2297.68
1760,263.726
1761,228.178
1762,305.077
1763,2021.95
1764,1551.05
1765,2198.42
1766,1099.44
1767,324.449
1768,1531.22
1769,1058.25
1770,355.063
1771,439.357
1772,322.5555
1773,349.022
1774,1382.07
1775,2223.4
1776,280.216
1777,2147.4
1778,272.209
1779,533.711
1780,158.69
1781,2345.63
1782,1735.27
1783,228.951
1784,369.802
1785,307.616
1786,421.689
1787,2277.59
1788,573.094
1789,540.254
1790,345.495
1791,423.534
1792,182.967
1793,1583.77
1794,2806.96
1795,1461.56
1796,202.03
1797,935.294
1798,581.145
1799,1891.27
1800,236.438
1801,1677.91
1802,436.64
1803,312.586
1804,1391.93
1805,451.316
1806,1409.76
1807,2872.64
1808,1711.34
1809,1751.63
1810,258.589
1811,308.038
1812,1916.55
1813,93.613
1814,1450.07
1815,1559.83
1816,141.367
1817,698.556
1818,1267.55
1819,114.827
1820,1796.93
1821,1294.35
1822,959.062
1823,1075.61
1824,655.308
1825,398.551
1826,883.944
1827,1575.11
1828,828.597
1829,333.085
1830,848.485
1831,721.029
1832,1012.05
1833,988.936
1834,3029.94
1835,1813.49
1836,1385.69
1837,158.891
1838,898.972
1839,769.537
1840,559.732
1841,2060.1
1842,823.224
1843,2507.17
1844,362.75
1845,234.202
1846,354.309
1847,2807.05
1848,178.072
1849,391.231
1850,1255.7
1851,6095.82
1852,555.2429999999999
1853,1215.02
1854,255.012
1855,302.785
1856,1703.51
1857,607.012
1858,367.954
1859,435.682
1860,146.016
1861,923.678
1862,280.514
1863,2759.76
1864,1413.72
1865,502.521
1866,212.833
1867,223.08
1868,1539.24
1869,907.318
1870,535.815
1871,1255.09
1872,550.093
1873,252.143
1874,731.592
1875,1436.92
1876,1329.81
1877,183.441
1878,491.052
1879,360.817
1880,299.244
1881,2977.16
1882,1191.57
1883,981.844
1884,1240.0700000000002
1885,1462.495
1886,1018.74
1887,891.542
1888,237.095
1889,425.375
1890,163.538
1891,132.528
1892,1511.63
1893,5473.15
1894,260.211
1895,760.598
1896,191.114
1897,1212.18
1898,299.179
1899,887.43
1900,737.758
1901,297.795
1902,503.74
1903,2056.46
1904,1482.35
1905,1741.72
1906,425.048
1907,226.786
1908,2582.45
1909,260.375
1910,450.301
1911,1339.39
1912,5296.97
1913,522.766
1914,4230.2
1915,385.909
1916,416.446
1917,760.971
1918,965.574
1919,1197.07
1920,1939.65
1921,1047.19
1922,1869.15
1923,1977.99
1924,1318.43
1925,1318.43
1926,1104.88
1927,4706.03
1928,1250.55
1929,2308.78
1930,3483.92
1931,2395.6
1932,987.863
1933,1171.86
1934,1133.61
1935,686.52
1936,3132.78
1937,908.426
1938,1829.48
1939,1129.87
1940,168.137
1941,428.873
1942,2115.58
1943,764.642
1944,196.03
1945,233.345
1946,599.727
1947,4013.79
1948,267.658
1949,279.082
1950,93.322
1951,2899.505
1952,2219.1
1953,359.547
1954,1415.4
1955,423.142
1956,696.938
1957,251.855
1958,163.4435
1959,278.094
1960,347.047
1961,1397.28
1962,969.863
1963,7943.53
1964,494.228
1965,307.504
1966,257.627
1967,3089.18
1968,348.627
1969,1058.09
1970,1172.6
1971,518.025
1972,1754.97
1973,1624.69
1974,395.686
1975,1404.41
1976,880.577
1977,522.457
1978,1580.14
1979,245.219
1980,1553.9
1981,278.95
1982,387.754
1983,792.332
1984,937.733
1985,3150.35
1986,719.067
1987,6933.58
1988,1431.81
1989,382.136
1990,701.773
1991,246.666
1992,436.31
1993,905.9635
1994,1133.01
1995,1071.93
1996,501.722
1997,518.248
1998,1116.6
