,total_cases
1366,7821191.0
1367,7849642.0
1368,7875757.0
1369,7897042.0
1370,7915236.0
1371,7932059.0
1372,7951070.0
1373,7974692.0
1374,7996444.0
1375,8016318.0
1376,8031803.0
1377,8044904.0
1378,8057278.0
1379,8082457.0
1380,8099772.0
1381,8121151.0
1382,8137179.0
1383,8148673.0
1384,8158091.0
1385,8169020.0
1386,8180500.0
1387,8196521.0
1388,8235599.0
1389,8247662.0
1390,8257464.0
1391,8263485.0
1392,8272374.0
1393,8281149.0
1394,8297171.0
1395,8310766.0
1396,8328110.0
1397,8334471.0
1398,8339926.0
1399,8344865.0
1400,8353865.0
1401,8366240.0
1402,8374303.0
1403,8380411.0
1404,8385203.0
1405,8389905.0
1406,8395221.0
1407,8400837.0
1408,8410525.0
1409,8416891.0
1410,8422910.0
1411,8427576.0
1412,8431559.0
1413,8438361.0
1414,8444415.0
1415,8449001.0
1416,8454701.0
1417,8459349.0
1418,8463364.0
1419,8466661.0
1420,8473362.0
1421,8478405.0
1422,8486014.0
1423,8491909.0
1424,8496820.0
1425,8500461.0
1426,8504545.0
1427,8509222.0
1428,8514072.0
1429,8519667.0
1430,8524668.0
1431,8535478.0
1432,8539886.0
1433,8543840.0
1434,8549210.0
1435,8554952.0
1436,8563938.0
1437,8569820.0
1438,8574716.0
1439,8578831.0
1440,8581810.0
1441,8587426.0
1442,8592797.0
1443,8597714.0
1444,8602751.0
1445,8607576.0
1446,8611580.0
1447,8615829.0
1448,8620072.0
1449,8643714.0
1450,8649552.0
1451,8655429.0
1452,8661159.0
1453,8666718.0
1454,8672291.0
1455,8678979.0
1456,8687160.0
1457,8700445.0
1458,8716384.0
1459,8738020.0
1460,8758450.0
1461,8772984.0
1462,8790144.0
1463,8810294.0
1464,8844026.0
1465,8876483.0
1466,8903566.0
1467,8936550.0
1468,8981929.0
1469,8999010.0
1470,9037990.0
1471,9084992.0
1472,9129305.0
1473,9170875.0
1474,9199068.0
1475,9228154.0
1476,9262623.0
1477,9298137.0
1478,9349033.0
1479,9404988.0
1480,9454267.0
1481,9495352.0
1482,9518959.0
1483,9551528.0
1484,9594158.0
1485,9643095.0
1486,9703618.0
1487,9756168.0
1488,9796727.0
1489,9819764.0
1490,9847278.0
1491,9905369.0
1492,9960605.0
1493,10018246.0
1494,10066706.0
1495,10109085.0
1496,10137782.0
1497,10169415.0
1498,10207882.0
1499,10247765.0
1500,10294367.0
1501,10334659.0
